User-ID,Location,Age
2009,"wuppertal, nordrhein-westfalen, germany",31.0
2030,"seabeck, washington, usa",31.0
2033,"omaha, nebraska, usa",27.0
2041,"playa del rey, california, usa",
2046,"philadelphia, missouri, usa",22.0
2082,"akron, ohio, usa",14.0
2084,"logroÃ±o, la rioja, spain",21.0
2103,"minneapolis, minnesota, usa",43.0
2110,"charlotte, north carolina, usa",
2132,"hammond, indiana, usa",
2134,"oakland, california, usa",35.0
2179,"sunderland, massachusetts, usa",30.0
2197,"n/a, travelling, canada",26.0
2240,"ottawa, ontario, canada",
2276,"niskayuna, new york, usa",46.0
2358,"bryan, texas, usa",23.0
2363,"mountain home, idaho, usa",42.0
2374,"st.thomas, virgin islands, usa",
2415,"hamburg, hamburg, germany",33.0
2442,"torino, ,",25.0
2470,"phoenix, arizona, usa",22.0
2488,"taubate, sao paulo, brazil",65.0
2611,"vero beach, florida, usa",
2665,"balozi, rigas rajons, latvia",
2678,"fort collins, colorado, usa",16.0
2693,"birkenau, hessen, germany",44.0
2719,"staten island, new york, usa",37.0
2738,"milano, lombardia, italy",32.0
2766,"frisco, texas, usa",42.0
2769,"gorizia, friuli venezia giulia, italy",27.0
2799,"eugene, oregon, usa",
2891,"beaverton, oregon, usa",
2935,"barstow, california, usa",59.0
2977,"richland, washington, usa",25.0
3088,"avignon, vaucluse, france",25.0
3099,"umeÃ¥, vÃ¤sterbotten, sweden",
3154,"new york, new york, usa",
3167,"milwaukee, wisconsin, usa",42.0
3172,"arlington, virginia, usa",32.0
3189,"Ã©vora, alentejo, portugal",17.0
3282,"didsbury, alberta, canada",52.0
3329,"grantsville, utah, usa",
3344,"tucson, arizona, usa",61.0
3346,"tehran, tehran, iran",20.0
3355,"barcelona, barcelona, spain",19.0
3363,"knoxville, tennessee, usa",29.0
3364,"victoria, british columbia, canada",29.0
3371,"groveland, massachusetts, usa",25.0
3416,"aachen, nordrhein-westfalen, germany",34.0
3538,"madrid, madrid, spain",31.0
3556,"bismarck, north dakota, usa",68.0
3588,"marion, iowa, usa",
3601,"tallahassee, florida, usa",33.0
3613,"new dundee, ontario, canada",29.0
3660,"huntington beach, california, usa",
3719,"eielson afb, alaska, usa",18.0
3728,"pembroke pines, florida, usa",40.0
3752,"langenthal, bern, switzerland",44.0
3757,"madrid, madrid, spain",
3779,"homer, alaska, usa",
3792,"sacramento, california, usa",12.0
3817,"columbia, south carolina, usa",29.0
3827,"orlando, florida, usa",23.0
3840,"meriden, connecticut, usa",46.0
3862,"swampscott, massachusetts, usa",
3917,"toronto, ontario, canada",25.0
3923,"vienna, ,",
4017,"new orleans, louisiana, usa",48.0
4028,"athens, n/a, greece",26.0
4076,"barcelona, barcelona, spain",27.0
4107,"kelowna, british columbia, canada",19.0
4131,"hemel hempstead, england, united kingdom",51.0
4164,"anchorage, alaska, usa",
4169,"fairbanks, alaska, usa",57.0
4223,"oldenburg, niedersachsen, germany",28.0
4292,"weehawken, new jersey, usa",
4385,"albq, new mexico, usa",33.0
4420,"balgach, st.gallen, switzerland",24.0
4433,"ploiesti, prahova, romania",17.0
4438,"chico, california, usa",42.0
4514,"vila nova de famalicÃ£o, braga, portugal",23.0
4521,"victoria, british columbia, canada",
4590,"madrid, madrid, spain",21.0
4600,"little rock, arkansas, usa",32.0
4622,"norfolk, virginia, usa",18.0
4732,"portland, oregon, usa",
4769,"ny, new york, usa",35.0
4785,"litchfield, connecticut, usa",30.0
4795,"rochester, new york, usa",18.0
4809,"grosse pointe, michigan, usa",
4816,"malden, massachusetts, usa",
4825,"albufeira, faro/algarve, portugal",28.0
4896,"ploiesti, prahova, romania",18.0
4900,"washington, dc,",26.0
4942,"bracebridge, ontario, canada",
4947,"lisboa, n/a, portugal",32.0
4980,"arvada, colorado, usa",21.0
5037,"dodge center, minnesota, usa",26.0
5049,"inver grove heights, minnesota, usa",32.0
5101,"montreal, quebec, canada",
5127,"castelnovo monti (re), emilia romagna, italy",33.0
5204,"lyon, rhÃ´ne-alpes, france",24.0
5209,"medford, new jersey, usa",48.0
5249,"norfolk, virginia, usa",
5300,"vittorio veneto, veneto, italy",
5331,"hull, england, united kingdom",26.0
5337,"tucker, georgia, usa",
5350,"kÃ¶ln, nordrhein-westfalen, germany",20.0
5351,"new plymouth, taranaki, new zealand",74.0
5352,"lisboa, lisboa, portugal",
5459,"frederick, maryland, usa",
5463,"madrid, madrid, spain",31.0
5476,"chester, ,",
5501,"reno, nevada, usa",
5539,"austin, texas, usa",32.0
5543,"cumberland, maryland, usa",29.0
5582,"seattle, washington, usa",26.0
5585,"arlington, virginia, usa",39.0
5615,"torino, piemonte, italy",
5619,"paris, n/a, france",52.0
5677,"hinsdale, illinois, usa",
5703,"gambier, ohio, usa",
5709,"bayan lepas, penang, malaysia",15.0
5728,"cullowhee, north carolina, usa",22.0
5741,"redlands, california, usa",20.0
5783,"fullerton, california, usa",32.0
5788,"crewe, england, united kingdom",30.0
5792,"toronto, ontario,",16.0
5834,"aachen, nordrhein-westfalen, germany",26.0
5899,"ulm, baden-wuerttemberg, germany",25.0
5903,"vienna, vienna, austria",25.0
5920,"albany, oregon, usa",35.0
5942,"harrisburg, missouri, usa",
5956,"indianapolis, indiana, usa",27.0
5984,"mt. airy, maryland, usa",42.0
5988,"grand prairie, texas, usa",49.0
6004,"como, lombardia, italy",37.0
6073,"houston, texas, usa",28.0
6092,"weybridge, surrey, united kingdom",
6115,"kerrville, texas, usa",
6207,"rennes, ille et vilaine, france",23.0
6242,"calgary, alberta, canada",
6251,"wahiawa, hawaii, usa",32.0
6323,"wilmington, north carolina, usa",35.0
6330,"letchworth garden city, england,",37.0
6339,"christchurch, n/a, new zealand",16.0
6345,"lake geneva, wisconsin, usa",29.0
6364,"middletown, ohio, usa",32.0
6366,"madrid, madrid, spain",20.0
6401,"aloha, oregon, usa",
6411,"lyon, rhÃ´ne, france",17.0
6431,"wylie, texas, usa",30.0
6445,"paris, paris, france",29.0
6466,"worcester, massachusetts, usa",44.0
6489,"ankeny, iowa, usa",
6492,"edmonton, alberta, canada",35.0
6497,"plant city, florida, usa",
6543,"strafford, missouri, usa",34.0
6545,"winnipeg, manitoba, canada",25.0
6563,"burien, washington, usa",31.0
6564,"lisboa, estremadura, portugal",37.0
6566,"port angeles, washington, usa",
6575,"seattle, washington, usa",
6604,"vallejo, california, usa",48.0
6611,"oradea, n/a, romania",22.0
6731,"buford, georgia, usa",29.0
6746,"laurel, maryland, usa",
6772,"calgary, ,",
6789,"boise, idaho, usa",
6815,"indianapolis, indiana, usa",24.0
6883,"oxford, england, united kingdom",23.0
6931,"fort collins, colorado, usa",44.0
6950,"memphis, tennessee, usa",
6968,"li, new york, usa",28.0
6991,"jackson, michigan, usa",
7056,"pickering, ontario, canada",31.0
7082,"carlisle, pennsylvania, usa",
7125,"apo, ae, usa",28.0
7128,"apo, ae, usa",8.0
7132,"mÃ¡laga, mÃ¡laga, spain",44.0
7134,"bothell, washington, usa",23.0
7154,"dronten, ,",
7155,"vienna, n/a, austria",32.0
7164,"bologna, emilia romagna, italy",
7207,"vigo, , spain",25.0
7210,"rothesay, new brunswick, canada",
7275,"kÃ¶ln, nordrhein-westfalen, germany",22.0
7286,"pasco, washington, usa",28.0
7300,"rijeka, n/a, croatia",
7310,"idaho springs, colorado, usa",46.0
7312,"walnut ridge, arkansas, usa",23.0
7326,"st. louis, missouri, usa",44.0
7338,"roswell, georgia, usa",33.0
7346,"sunnyvale, california, usa",49.0
7352,"houston, texas, usa",53.0
7371,"winnipeg, manitoba, canada",26.0
7426,"la, california, usa",
7482,"macarthur, west virginia, usa",49.0
7557,"graham, washington, usa",23.0
7620,"knoxville, tennessee, usa",21.0
7796,"cadiz, n/a, spain",34.0
7841,"salt lake city, utah, usa",
7860,"northfield, massachusetts, usa",
7864,"klang, selangor, malaysia",17.0
7887,"altoona, pennsylvania, usa",23.0
7913,"mission hills, california, usa",43.0
7915,"st. paul, minnesota, usa",
7958,"oeiras, lisbon, portugal",27.0
7982,"saugatuck, michigan, usa",
7983,"longview, washington, usa",26.0
8019,"toronto, ontario, canada",
8027,"burlington, vermont, usa",
8065,"durango, colorado, usa",
8066,"chicago, illinois, usa",
8067,"owings mills, maryland, usa",26.0
8095,"peterborough, ontario, canada",22.0
8109,"mount pearl, newfoundland, canada",
8135,"huntington, new york, usa",
8187,"bend, oregon, usa",
8188,"san francisco, california, usa",
8242,"livonia, michigan, usa",33.0
8245,"torrance, california, usa",31.0
8250,"carrollton, texas, usa",34.0
8253,"tulsa, oklahoma, usa",26.0
8255,"savage, minnesota, usa",47.0
8284,"manchester, kentucky, usa",28.0
8290,"shrewsbury, massachusetts, usa",
8296,"livermore falls, maine, usa",28.0
8323,"roy, utah, usa",48.0
8350,"alenquer, n/a, portugal",39.0
8362,"los angeles, california, usa",28.0
8380,"auburn, california, usa",19.0
8454,"auburndale, massachusetts, usa",
8487,"carrollton, texas, usa",30.0
8568,"auckland, auckland, new zealand",
8570,"rochester, new york, usa",23.0
8584,"watertown, massachusetts, usa",
8613,"cincinnati, ohio, usa",69.0
8639,"acworth, georgia, usa",
8660,"innsbruck, tirol, austria",25.0
8674,"singapore, n/a, singapore",29.0
8680,"st. charles county, missouri, usa",2.0
8681,"orlando, florida, usa",34.0
8717,"zaragoza, zaragoza, spain",31.0
8732,"ozark, alabama, usa",
8734,"chula vista, california, usa",
8752,"n/a, n/a, monaco",45.0
8753,"sunnyvale, california, usa",45.0
8780,"santa cruz, california, usa",
8805,"ealing, england, united kingdom",36.0
8808,"north vernon, indiana, usa",26.0
8820,"stockerau, niederoesterreich, austria",25.0
8864,"st petersburg, florida, usa",26.0
8872,"athens, georgia, usa",65.0
8890,"paris, ile-de-france, france",47.0
8926,"buch am erlbach, bayern, germany",30.0
8935,"little elm, texas, usa",35.0
8936,"elizabeth city, north carolina, usa",18.0
8971,"berlin, berlin, germany",27.0
8976,"berlin, berlin, germany",45.0
9029,"gavÃ , barcelona, spain",
9034,"santiago, region metropolitana, chile",
9044,"san jose, n/a, costa rica",41.0
9139,"mt. pleasant, michigan, usa",17.0
9141,"durango, colorado, usa",65.0
9227,"glendora, california, usa",24.0
9246,"st. paul, minnesota, usa",40.0
9279,"newport news, virginia, usa",
9354,"albuquerque, new mexico, usa",30.0
9373,"banks, alabama, usa",40.0
9381,"bagshot, surrey, united kingdom",
9414,"ipswich, suffolk, united kingdom",37.0
9417,"whitby, ontario, canada",26.0
9440,"indianapolis, indiana, usa",21.0
9454,"reno, nevada, usa",
9504,"saint charles, missouri, usa",
9540,"peoria, illinois, usa",
9556,"albany, new york, usa",
9613,"collings lakes, new jersey, usa",34.0
9850,"rueil-malmaison, n/a, france",29.0
9856,"glendale, colorado, usa",22.0
9908,"woodstock, georgia, usa",36.0
9918,"las vegas, nevada, usa",17.0
9924,"sunnyvale, california, usa",17.0
10030,"pittsburgh, pennsylvania, usa",66.0
10067,"watton, norfolk, england",61.0
10076,"dale, indiana, usa",34.0
10199,"eltham, victoria, australia",17.0
10241,"avon, massachusetts, usa",27.0
10272,"parma, emilia romagna, italy",
10294,"stockholm, n/a, sweden",
10297,"london, ontario, canada",
10314,"beaverton, oregon, usa",
10315,"calgary, alberta, canada",18.0
10325,"lockport, illinois, usa",18.0
10326,"ovar, n/a, portugal",28.0
10354,"martinsburg, west virginia, usa",15.0
10388,"malaysia, malaysia, malaysia",35.0
10447,"chicago, illinois, usa",
10472,"uxbridge, middlesex, united kingdom",
10502,"sheridan, wyoming, usa",
10532,"shipley, west yorkshire, united kingdom",29.0
10554,"bruny island, tasmania, australia",53.0
10560,"chicago, illinois, usa",27.0
10571,"benalmÃ¡dena, mÃ¡laga, spain",25.0
10610,"north mankato, ,",
10643,"el paso, texas, usa",
10681,"xxxxxx, xxxxxx, netherlands",
10764,"tampere, pirkanmaa, finland",22.0
10819,"richmond, kentucky, usa",27.0
10865,"magdeburg, sachsen-anhalt, germany",14.0
10965,"uppsala, uppland, sweden",22.0
11032,"adelaide, south australia, australia",13.0
11088,"brisbane, queensland, australia",
11100,"sittard, limburg, netherlands",
11179,"davidson, north carolina, usa",
11192,"worms, rheinland-pfalz, germany",49.0
11193,"zuiddorpe, zeeland, netherlands",
11222,"omaha, nebraska, usa",
11224,"tumwater, washington, usa",51.0
11231,"hinesville, georgia, usa",37.0
11245,"scarborough, ontario, canada",
11325,"seattle, washington, usa",23.0
11341,"lexington, minnesota, usa",45.0
11400,"ottawa, ontario, canada",49.0
11425,"todd, north carolina, usa",15.0
11450,"loma linda, california, usa",62.0
11451,"millersville, maryland, usa",
11456,"fort thomas, kentucky, usa",
11457,"missouri city, texas, usa",26.0
11501,"konstanz, baden-wuerttemberg, germany",21.0
11525,"blackpool, england, united kingdom",20.0
11590,"st. peters, missouri, usa",
11601,"brooklyn, new york, usa",
11629,"houston, texas, usa",21.0
11657,"cincinnati, ohio, usa",25.0
11676,"n/a, n/a, n/a",
11687,"orillia, ontario, canada",47.0
11708,"auburn, ,",
11724,"west lawn, pennsylvania, usa",42.0
11768,"jalandhar cantt, punjab, india",14.0
11805,"torino, piemonte, italy",21.0
11832,"juneau, alaska, usa",
11835,"boves, piemonte, italy",37.0
11855,"toronto, ,",
11944,"santo tirso, porto, portugal",21.0
11974,"mÃ¼nchen, bayern, germany",29.0
11993,"lakewood, colorado, usa",37.0
12035,"rockford, illinois, usa",39.0
12100,"quezon city, national capital region, philippines",26.0
12137,"north vancouver, british columbia, canada",
12154,"pittsburgh, pennsylvania, usa",41.0
12228,"lima, ohio, usa",79.0
12246,"karlsruhe, baden-wuerttemberg, germany",15.0
12272,"ploiesti, prahova, romania",18.0
12316,"viewtown, virginia, usa",
12330,"sao paulo, sao paulo, brazil",30.0
12340,"new york, new york, usa",43.0
12371,"vancouver, british columbia, canada",
12384,"pittsburgh, pennsylvania, usa",
12457,"bridgeport, west virginia, usa",36.0
12484,"glasgow, scotland, united kingdom",23.0
12524,"albuquerque, new mexico, usa",29.0
12537,"byron, minnesota,",
12538,"byron, minnesota, usa",18.0
12548,"`s-hertogenbosch, brabant, netherlands",44.0
12569,"selangor, subang jaya, malaysia",22.0
12576,"lisboa, n/a, portugal",
12596,"maimi lakes, florida, usa",56.0
12641,"hollywood, florida, usa",25.0
12651,"nantwich, england, united kingdom",38.0
12657,"bremen, bremen, germany",48.0
12698,"portland, oregon, usa",32.0
12707,"edmonton, alberta, canada",37.0
12755,"oakville, washington, usa",40.0
12780,"vienna, vienna, austria",30.0
12824,"long beach, california, usa",18.0
12835,"hamburg, hamburg, germany",38.0
12863,"london, england, united kingdom",29.0
12981,"san sebastian, guipuzcoa, spain",45.0
12982,"getxo, vizcaya, spain",41.0
12990,"denver, colorado, usa",58.0
13060,"victoria, british columbia, canada",29.0
13066,"columbia, missouri, usa",23.0
13080,"edmonton, alberta, canada",22.0
13126,"mumbai, maharashtra, india",21.0
13137,"kissimmee, florida, usa",
13141,"brighton, england, united kingdom",26.0
13149,"columbus, ohio, usa",
13173,"norfolk, virginia, usa",55.0
13221,"iqaluit, nunavut, canada",45.0
13273,"harrisburg, pennsylvania, usa",201.0
13280,"lakewood, colorado, usa",65.0
13344,"bergschenhoek, zh, netherlands",
13347,"vigo, vigo pontevedra, spain",49.0
13355,"houston, texas, usa",
13420,"st.paul, minnesota, usa",
13435,"gloriana, alaska, usa",
13518,"fishers, indiana, usa",27.0
13551,"raleigh, north carolina, usa",
13552,"cordova, tennessee, usa",32.0
13573,"reggio emilia, emilia romagna,",
13582,"lisboa, lisboa, portugal",29.0
13600,"athens, athens, greece",
13664,"escondido, california, usa",
13668,"victoria, british columbia, canada",
13706,"springdale, arkansas, usa",
13711,"russellville, ar, arkansas, usa",
13719,"little rock, arkansas, usa",
13733,"elmira, new york, usa",
13735,"clichy, hauts-de-seine, france",41.0
13850,"online, n/a, usa",28.0
13935,"lancaster, pennsylvania, usa",36.0
13943,"victoria, british columbia, canada",
13948,"barreiro, barreiro, portugal",33.0
13968,"oceanside, california, usa",
13995,"adelaide, south australia, australia",
14049,"burnaby, british columbia, canada",
14060,"carnegie, ,",
14079,"valencia, valencia, spain",41.0
14087,"ann arbor, michigan, usa",31.0
14228,"wichita, kansas, usa",31.0
14232,"paris, paris, france",23.0
14281,"sebastopol, california, usa",
14336,"manchester, new hampshire, usa",28.0
14400,"birmingham, england, united kingdom",30.0
14422,"apple valley, minnesota, usa",
14449,"saskatoon, saskatchewan, canada",72.0
14451,"lisboa, lisboa, portugal",26.0
14453,"sarnia, ontario, canada",29.0
14456,"edmonton, alberta, canada",27.0
14461,"aachen, nordrhein-westfalen, germany",31.0
14514,"london, n`a, united kingdom",18.0
14517,"guelph, ontario, canada",23.0
14521,"providence, rhode island, usa",
14558,"melbourne, victoria, australia",61.0
14571,"east lansing, michigan, usa",37.0
14583,"allston, massachusetts, usa",
14584,"atlanta, georgia, usa",39.0
14630,"saskatoon, saskatchewan, canada",13.0
14638,"roquemaure, languedoc roussillon, france",33.0
14643,"sydney, new south wales, australia",18.0
14675,"renton, washington, usa",37.0
14698,"upstate, new york, usa",
14720,"dekalb, illinois, usa",22.0
14722,"miramar beach, florida, usa",37.0
14752,"ashland, oregon, usa",50.0
14763,"cumberland, ontario, canada",
14764,"lacey, washington, usa",14.0
14768,"corvallis, oregon, usa",24.0
14796,"lexington, kentucky, usa",17.0
14808,"madison, wisconsin, usa",41.0
14888,"marietta, georgia, usa",53.0
14897,"shiki, saitama, japan",24.0
14958,"lezo, euskadi, spain",39.0
15008,"sheffield, england, united kingdom",37.0
15021,"lake mary, florida, usa",37.0
15040,"setÃºbal, setÃºbal, portugal",29.0
15044,"lakewood, colorado, usa",29.0
15046,"sydney, nova scotia, canada",25.0
15049,"benbrook, texas, usa",28.0
15057,"houston, texas, usa",
15144,"raleigh, ,",
15161,"haltern am see, nordrhein-westfalen, germany",26.0
15172,"melbourne, victoria, australia",
15208,"woodside, new york, usa",
15230,"calgary, alberta, canada",19.0
15260,"amsterdam, noord-holland, netherlands",
15297,"san sebastiÃ¡n, guipuzcoa, spain",25.0
15314,"porto da espada, alto alentejo,",43.0
15371,"ludwigshafen, rheinland-pfalz, germany",32.0
15385,"edinburgh, scotland, united kingdom",26.0
15387,"natick, massachusetts, usa",
15408,"cary, north carolina, usa",34.0
15418,"vitoria, Ã¡lava, spain",23.0
15477,"winchester, england, united kingdom",
15497,"fresno, california, usa",38.0
15500,"new orleans, louisiana, usa",
15527,"broomfield, colorado, usa",30.0
15575,"philadelphia, pennsylvania, usa",19.0
15634,"gijÃ³n, asturias, spain",36.0
15654,"dallas, texas, usa",29.0
15664,"tempe, arizona, usa",
15670,"round rock, texas, usa",
15673,"reggio emilia, emilia romagna, italy",24.0
15726,"augusta, georgia, usa",58.0
15770,"auckland, auckland, new zealand",43.0
15819,"grapevine, texas, usa",
15822,"lloydminster, saskatchewan, canada",61.0
15834,"cleveland, tennessee, usa",15.0
15918,"cardiff, wales, united kingdom",23.0
15936,"chicago, illinois, usa",59.0
15945,"charlotte, north carolina, usa",36.0
15957,"sydney, new south wales, australia",27.0
15962,"saskatoon, saskatchewan, canada",18.0
15989,"bloomingtom, illinois, usa",26.0
16005,"chicago, illinois, usa",30.0
16009,"stratford, new jersey, usa",25.0
16023,"colorado springs, colorado, usa",
16036,"crestview, florida, usa",
16060,"philadelphia, pennsylvania, usa",
16061,"duncan, british columbia, canada",
16086,"isle of wight, england, united kingdom",39.0
16095,"rantoul, illinois, usa",35.0
16106,"albany, california, usa",44.0
16121,"tarrytown, new york, usa",37.0
16137,"claremont, california, usa",
16161,"cobram, victoria, australia",28.0
16190,"san jose, california, usa",
16220,"milano, lombardia, italy",30.0
16237,"kingman, arizona, usa",48.0
16244,"toronto, ,",
16246,"kitakyushu, fukuoka, japan",32.0
16263,"ashland, wisconsin, usa",
16287,"valencia, valencia, spain",29.0
16305,"chatswood west  nsw 2067, new south wales, australia",61.0
16376,"rosemount, queensland, australia",59.0
16459,"palm springs, california, usa",
16488,"milwaukee, wisconsin, usa",36.0
16490,"chandler, arizona, usa",76.0
16504,"kuching, sarawak, malaysia",28.0
16566,"augsburg, bayern, germany",19.0
16567,"caloundra, queensland, australia",21.0
16599,"roselle, illinois, usa",33.0
16634,"little rock, arkansas, usa",42.0
16673,"cadiz, cadiz, spain",30.0
16684,"sao paulo, sao paulo, brazil",59.0
16713,"abbotsford, british columbia, canada",
16718,"houston, texas, usa",29.0
16755,"streetman, texas, usa",58.0
16764,"walnut creek, california, usa",
16781,"marion, iowa, usa",
16795,"mechanicsville, maryland, usa",47.0
16818,"hiawatha, iowa, usa",
16835,"bronx, new york, usa",28.0
16840,"harper woods, michigan, usa",30.0
16853,"carpinteria, california, usa",58.0
16867,"mÃ¶rfelden-walldorf, hessen, germany",25.0
16871,"leroy, new york, usa",26.0
16876,"west long branch, new jersey, usa",
16877,"houston, arkansas, usa",37.0
16907,"taipei, taiwan, taiwan",
16923,"salop, england, united kingdom",16.0
16935,"saltville, virginia, usa",
16946,"milano, lombardia, italy",
16966,"waterloo, ontario, canada",41.0
16974,"alpharetta, georgia, usa",38.0
16991,"kansas city, missouri, usa",
16996,"stratford, iowa, usa",23.0
16999,"alexandria, virginia, usa",48.0
17003,"carlsbad, california, usa",
17027,"woodland, pennsylvania, usa",10.0
17046,"lincon, nebraska, usa",35.0
17049,"stouffville, ontario, canada",32.0
17054,"boulogne billancourt, haut de seine, france",26.0
17068,"williamstown, victoria, australia",50.0
17087,"potsdam, brandenburg, germany",28.0
17125,"lewisville, north carolina, usa",23.0
17167,"richmond, british columbia, canada",30.0
17172,"mÃ³stoles, madrid, spain",28.0
17183,"zaragoza, zaragoza, spain",23.0
17185,"st. john`s, newfoundland, canada",
17190,"woodstock, georgia, usa",31.0
17200,"canby, oregon, usa",37.0
17233,"fuquay-varina, north carolina, usa",54.0
17266,"gray, maine, usa",
17282,"irwin, pennsylvania, usa",38.0
17373,"roma, lazio, italy",28.0
17402,"tucson, arizona, usa",
17449,"tempe, arizona, usa",
17479,"prague, n/a, czech republic",
17571,"doylestown, pennsylvania, usa",58.0
17579,"stuttgart, baden-wuerttemberg, germany",
17596,"brighton & hove, england, united kingdom",31.0
17601,"bensheim, hessen, germany",53.0
17605,"angwin, california, usa",
17613,"cincinnati, ohio, usa",44.0
17645,"san jose, california, usa",
17667,"iowa city, iowa, usa",33.0
17676,"berlin, berlin, germany",28.0
17702,"bochum, nordrhein-westfalen, germany",21.0
17703,"newport beach, california, usa",28.0
17789,"paris, idf, france",26.0
17859,"roanoke, virginia, usa",43.0
17876,"portland, oregon, usa",
17880,"milano, lombardia, italy",37.0
17950,"puchong, selangor, malaysia",32.0
18002,"oakville, ontario, canada",23.0
18016,"new port richey, florida, usa",21.0
18028,"temecula, california, usa",
18038,"miami, florida, usa",29.0
18067,"kajang, selangor, malaysia",33.0
18082,"southern, california, usa",38.0
18107,"san diego, california, usa",
18155,"sydney, new south wales, australia",26.0
18170,"reus, catalunya, andorra",27.0
18176,"brookfield, illinois, usa",
18186,"lille, nord-pas de calais, france",33.0
18196,"paris, ile de france, france",28.0
18216,"houston, texas, usa",50.0
18254,"nanaimo, british columbia, canada",34.0
18309,"rennes, bretagne, france",34.0
18311,"new york, new york, usa",
18323,"augusta, maine, usa",41.0
18384,"palma de mallorca, baleares, spain",37.0
18395,"redmond, oregon, usa",44.0
18401,"chicago, illinois,",
18412,"thun, bern, switzerland",44.0
18429,"n/a, n/a, denmark",
18464,"padova, veneto, italy",32.0
18541,"logansville, georgia, usa",36.0
18565,"edmonton, alberta, canada",34.0
18652,"moorestown, new jersey, usa",
18655,"port huron, michigan, usa",
18667,"oxford, , united kingdom",
18716,"san leandro, california, usa",
18722,"fairfield, connecticut, usa",41.0
18761,"hannover, niedersachsen, germany",59.0
18789,"ft worth, texas, usa",20.0
18848,"st. john`s, newfoundland, canada",
18850,"berlin, berlin, germany",28.0
18860,"braga, braga, portugal",38.0
18886,"uplengen, niedersachsen, germany",
18908,"greenville, georgia, usa",29.0
18922,"birmingham, alabama, usa",30.0
18963,"san diego, california, usa",
19018,"aurora, ,",25.0
19049,"manhattan, kansas, usa",
19085,"menomonie, wisconsin, usa",60.0
19107,"thousand oaks, california, usa",45.0
19112,"montrÃ©al, quebec, canada",25.0
19114,"campodarsego, veneto, italy",18.0
19126,"cambridge, massachusetts, usa",
19145,"nyc, new york, usa",
19163,"anchorage, alaska, usa",
19166,"pittsburgh, pennsylvania, usa",
19220,"hatboro, pennsylvania, usa",47.0
19248,"perry, florida, usa",46.0
19422,"indialantic, florida, usa",37.0
19493,"baldwin, ,",
19501,"mosinee, wisconsin, usa",
19540,"kelowna, british columbia, canada",
19571,"rahway, new jersey, usa",
19573,"stockton, california, usa",69.0
19576,"seattle, washington, usa",
19611,"salzgitter, niedersachsen, germany",36.0
19626,"belleville, wisconsin, usa",28.0
19643,"calgary, alberta, canada",
19664,"katonah, new york, usa",19.0
19681,"del aire, california, usa",44.0
19711,"katy, texas, usa",
19720,"portland, oregon, usa",46.0
19907,"los angeles, california, usa",
19969,"antelope, california, usa",44.0
19972,"mcdonough, georgia, usa",39.0
19974,"bradford, england, united kingdom",30.0
